character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('9', '2', '0')	0	0	0	0	0	0	1	3	0	0	0	0	27	12
('>', 'i', 'ë')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('p', 'r', 'î')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('8', ' ', 'o')	0	0	0	0	0	0	3	2	3	0	0	0	26	21
('e', 'k', '’')	0	0	0	0	0	0	0	3	3	0	0	3	0	0
('1', '7', ',')	0	0	0	0	0	0	7	1	0	0	0	0	104	4
('1', ' ', '1')	0	0	0	0	0	0	1	0	0	0	0	0	2	3
('8', '9', '0')	0	0	0	0	0	0	1	0	0	0	0	0	10	5
('6', '.', '4')	0	0	0	0	0	0	1	0	0	0	0	0	24	2
('.', '1', '9')	0	0	0	0	0	0	1	0	0	0	0	0	45	0
('9', '0', '3')	0	0	0	0	0	0	1	1	0	0	0	0	2	3
('w', 'î', 'g')	0	0	0	0	0	0	14	0	0	0	0	0	0	0
('r', 'v', 'â')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('u', 'z', 'o')	0	0	0	0	0	0	1	9	0	0	0	0	23	4
('î', ' ', 'f')	0	0	0	0	0	0	9	0	0	0	0	0	0	0
('1', ' ', 'f')	0	0	0	0	0	0	0	0	0	0	0	2	117	6
('z', 'r', 'o')	0	0	0	0	0	0	2	1	0	0	0	0	4	0
('r', 'k', ')')	0	0	0	0	0	0	1	1	0	0	0	0	0	4
('v', '-', 'm')	0	0	0	0	0	0	1	0	0	0	0	1	38	2
('s', ' ', '7')	0	0	0	0	0	0	3	0	0	0	0	1	226	6
(' ', '7', ',')	0	0	0	0	0	0	4	1	0	0	0	1	255	7
('7', '.', '6')	0	0	0	0	0	0	3	0	0	0	0	0	13	2
('.', '6', '.')	0	0	0	0	0	0	7	0	0	0	0	0	20	0
('6', '.', '1')	0	0	0	0	0	0	7	0	0	0	0	0	74	4
('.', '1', '8')	0	0	0	0	0	0	9	0	0	0	0	0	10	1
('8', '3', '5')	0	0	0	0	0	0	1	0	0	0	0	0	13	2
('2', '7', ')')	0	0	0	0	0	0	1	0	0	0	0	0	0	10
('9', '2', '5')	0	0	0	0	0	0	2	1	0	0	0	0	7	6
('9', '3', '6')	0	0	0	0	0	0	1	1	0	0	0	0	6	6
('l', 'z', 'r')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('z', 'r', 'i')	0	0	0	0	0	0	7	0	0	0	0	0	58	0
(' ', '“', 'p')	0	0	0	0	0	0	1	3	7	0	0	0	0	0
('d', '-', 'b')	0	0	0	0	0	0	1	0	1	0	0	1	409	9
('.', '0', '4')	0	0	0	0	0	0	0	0	0	0	0	2	30	3
('1', '4', ':')	0	0	0	0	0	0	0	1	0	0	0	2	4	1
('4', ':', ' ')	0	0	0	0	0	0	0	1	0	0	0	2	0	6
('2', '9', '8')	0	0	0	0	0	0	1	0	0	0	0	0	9	0
('g', 'ö', 'l')	0	0	0	0	0	0	1	0	1	0	0	1	3	0
('ġ', ' ', 'i')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('1', '3', '0')	0	0	0	0	0	0	2	1	0	0	0	0	165	13
('1', '3', '7')	0	0	0	0	0	0	1	0	0	0	0	0	20	1
(' ', '`', 'h')	0	0	0	0	0	0	1	0	0	0	0	0	0	5
('é', 'l', 'k')	0	0	0	0	0	0	9	1	0	0	0	0	0	0
('3', ' ', 'l')	0	0	0	0	0	0	0	0	0	0	0	1	29	6
('p', 'e', '-')	0	0	0	0	0	0	1	0	0	0	0	4	197	2
('1', '.', '6')	0	0	0	0	0	0	3	0	0	0	0	0	32	2
('.', '1', '7')	0	0	0	0	0	0	3	0	0	0	0	0	12	2
('7', '7', '4')	0	0	0	0	0	0	1	0	0	0	0	0	5	0
('0', '2', ')')	0	0	0	0	0	0	1	0	0	0	0	0	0	13
('2', ')', ',')	0	0	0	0	0	0	3	0	0	0	0	0	0	10
(' ', '(', '9')	0	0	0	0	0	0	2	0	0	0	0	0	0	6
('9', '.', '6')	0	0	0	0	0	0	1	0	0	0	0	0	8	3
('7', '5', '2')	0	0	0	0	0	0	1	0	0	0	0	0	5	1
('5', '2', ')')	0	0	0	0	0	0	1	1	0	0	0	0	0	7
('4', '9', ')')	0	0	0	0	0	0	1	0	0	0	0	0	0	5
('i', 'è', 'k')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('5', '3', '0')	0	0	0	0	0	0	2	0	0	0	0	0	24	1
('v', 'a', 'b')	0	0	0	0	0	0	1	0	0	0	0	0	20	1
('-', 't', 'ä')	0	0	0	0	0	0	1	0	0	0	0	4	20	0
('y', 't', 's')	0	0	0	0	0	0	2	1	0	0	0	0	1	7
('-', '2', '8')	0	0	0	0	0	0	1	0	0	0	0	0	5	0
('d', 'â', 'k')	0	0	0	0	0	0	13	0	0	0	0	0	0	0
('p', '`', 'm')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('1', ',', '1')	0	0	0	0	0	0	0	0	0	0	0	1	268	3
('t', 'e', '"')	0	0	0	0	0	0	2	0	0	0	0	0	10	16
('-', ' ', '8')	0	0	0	0	0	0	1	0	0	0	0	0	6	1
(' ', '4', '6')	0	0	0	0	0	0	1	1	1	0	0	0	172	4
('h', 'î', 'e')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('û', 't', 's')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
("'", 'z', 'o')	0	0	0	0	0	0	1	8	0	0	0	0	0	0
('f', 'm', ' ')	0	0	0	0	0	0	3	0	0	0	0	0	8	0
(' ', '3', '3')	0	0	0	0	0	0	4	1	0	0	0	2	337	8
('m', 's', 'ä')	0	0	0	0	0	0	1	0	0	0	0	0	534	0
('-', 'i', 'd')	0	0	0	0	0	0	2	1	0	0	0	1	100	0
(' ', '>', 'b')	0	0	0	0	0	0	23	0	0	0	0	0	0	0
('-', 'r', 'i')	0	0	0	0	0	0	1	0	0	0	0	4	361	7
('z', 's', 'u')	0	0	0	0	0	0	1	0	0	0	0	0	34	0
('w', 'ä', ' ')	0	0	0	0	0	0	12	0	0	0	0	0	0	0
('0', '1', '3')	0	0	0	0	0	0	0	2	1	0	0	1	16	0
('9', '2', '2')	0	0	0	0	0	0	2	0	0	0	0	0	5	7
('5', '.', '0')	0	0	0	0	0	0	1	1	0	0	0	1	493	26
('5', '.', '1')	0	0	0	0	0	0	4	0	0	0	0	1	78	1
('.', '1', '5')	0	0	0	0	0	0	2	2	0	0	0	1	26	4
('5', '.', '3')	0	0	0	0	0	0	0	0	0	0	0	1	26	2
('.', '3', '0')	0	0	0	0	0	0	1	3	1	0	0	1	104	9
('5', '.', '4')	0	0	0	0	0	0	1	0	0	0	0	1	15	2
('.', '4', '5')	0	0	0	0	0	0	0	0	0	0	0	1	20	1
('/', '/', ' ')	0	0	0	0	0	0	0	4	0	0	0	3	3	0
(' ', '/', '/')	0	0	0	0	0	0	0	0	0	0	0	4	6	0
('9', '2', '6')	0	0	0	0	0	0	1	1	0	0	0	0	4	9
('b', 's', 's')	0	0	0	0	0	0	1	0	0	0	0	0	1169	0
('g', '-', 'i')	0	0	0	0	0	0	2	0	1	0	0	0	163	0
('ü', 'b', 'u')	0	0	0	0	0	0	2	0	0	0	0	4	36	0
('1', '3', '-')	0	0	0	0	0	0	3	0	0	0	0	0	137	1
('3', '-', '1')	0	0	0	0	0	0	1	1	0	0	0	0	5	11
('1', ' ', 'g')	0	0	0	0	0	0	2	3	1	0	0	1	264	12
('p', '-', 'g')	0	0	0	0	0	0	0	1	0	0	0	3	125	0
('l', 'z', 'h')	0	0	0	0	0	0	3	0	0	0	0	0	11	2
('i', 'o', 'k')	0	0	0	0	0	0	1	0	0	0	0	0	15	0
('f', '-', 'h')	0	0	0	0	0	0	1	0	0	0	0	3	15	0
('n', 'f', 'k')	0	0	0	0	0	0	1	0	0	0	0	0	6	0
('r', 'm', 'g')	0	0	0	0	0	0	1	0	2	0	0	1	14	3
('8', '6', '2')	0	0	0	0	0	0	2	0	0	0	0	0	13	2
('6', '2', ' ')	0	0	0	0	0	0	4	2	0	0	0	0	139	16
('-', 'e', 'z')	0	0	0	0	0	0	1	0	5	0	0	0	1	0
('y', 'b', 'a')	0	0	0	0	0	0	0	0	5	0	0	2	54	4
('(', '!', ')')	0	0	0	0	0	0	1	2	0	0	0	3	0	2
('z', 'f', 'l')	0	0	0	0	0	0	1	0	0	0	0	0	21	0
('5', '7', '1')	0	0	0	0	0	0	1	1	0	0	0	0	8	0
(' ', 'z', 'l')	0	0	0	0	0	0	0	0	0	0	0	1	7	0
('ğ', ' ', 'b')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('.', '1', '2')	0	0	0	0	0	0	1	0	0	0	0	0	50	1
('m', ' ', ',')	0	0	0	0	0	0	1	0	1	0	0	0	2658	0
('â', 't', ',')	0	0	0	0	0	0	10	0	0	0	0	0	0	0
('e', 'f', 'c')	0	0	0	0	0	0	1	1	0	0	0	0	9	0
(' ', '>', 'h')	0	0	0	0	0	0	21	0	0	0	0	0	0	0
('7', '8', '0')	0	0	0	0	0	0	1	0	0	0	0	0	16	2
('8', '9', '4')	0	0	0	0	0	0	1	0	0	0	0	0	3	2
('s', 'm', 's')	0	0	0	0	0	0	0	2	2	0	0	1	282	0
('9', '.', '4')	0	0	0	0	0	0	1	0	1	0	0	0	4	0
(' ', 'm', 'g')	0	0	0	0	0	0	1	0	0	0	0	0	22	2
('m', 'g', '-')	0	0	0	0	0	0	1	0	0	0	0	0	11	0
('e', '/', 'l')	0	0	0	0	0	0	3	0	0	0	0	0	7	0
('/', 'l', 'e')	0	0	0	0	0	0	3	0	0	0	0	0	32	1
('-', '2', '2')	0	0	0	0	0	0	2	0	0	0	0	0	15	2
('j', 'ä', 'j')	0	0	0	0	0	0	10	0	0	0	0	0	0	0
('c', '-', 'm')	0	0	0	0	0	0	0	0	0	0	0	3	350	1
('h', '-', 'b')	0	0	0	0	0	0	6	0	0	0	0	0	143	0
('7', '8', '1')	0	0	0	0	0	0	2	0	0	0	0	0	8	0
('8', '1', ' ')	0	0	0	0	0	0	2	0	1	0	0	0	109	20
('9', '3', '2')	0	0	0	0	0	0	1	1	0	0	0	0	4	6
('3', '2', ' ')	0	0	0	0	0	0	3	2	1	0	0	0	390	18
('e', 'k', '“')	0	0	0	0	0	0	0	0	0	0	0	9	0	0
('0', '5', ',')	0	0	0	0	0	0	1	0	0	0	0	0	5	4
('“', 'd', 'o')	0	0	0	0	0	0	1	13	2	0	0	0	0	0
('o', 'p', 'c')	0	0	0	0	0	0	1	1	0	0	0	0	14	9
('c', ' ', 't')	0	0	0	0	0	0	0	2	6	0	0	1	97	9
('2', '2', '4')	0	0	0	0	0	0	1	0	0	0	0	0	17	1
('ü', ' ', "'")	0	0	0	0	0	0	6	0	0	0	0	0	0	0
(' ', ' ', 'j')	0	0	0	0	0	0	5	0	1	0	0	0	0	0
('»', ' ', 'o')	0	0	0	0	0	0	1	0	0	0	0	0	0	13
('1', '0', '/')	0	0	0	0	0	0	1	0	0	0	0	0	63	0
('0', '/', '1')	0	0	0	0	0	0	1	0	0	0	0	0	60	0
('1', '-', '8')	0	0	0	0	0	0	2	0	0	0	0	0	5	0
('“', ' ', '=')	0	0	0	0	0	0	0	0	0	0	0	7	0	0
('u', 'f', '-')	0	0	0	0	0	0	0	0	0	0	0	1	27	2
('(', 's', 'i')	0	0	0	0	0	0	1	0	0	0	0	2	1	39
('p', '’', ' ')	0	0	0	0	0	0	1	1	4	0	0	0	0	0
(' ', '`', 'd')	0	0	0	0	0	0	1	1	0	0	0	0	0	8
(' ', '-', '2')	0	0	0	0	0	0	2	1	0	0	0	0	11	0
('m', 't', '-')	0	0	0	0	0	0	0	0	0	0	0	1	21	0
('k', '-', 'l')	0	0	0	0	0	0	2	0	1	0	0	4	126	1
('r', 'g', '/')	0	0	0	0	0	0	1	2	0	0	0	1	38	0
('/', 'h', 'e')	0	0	0	0	0	0	1	1	0	0	0	0	3	1
('k', 'z', 'u')	0	0	0	0	0	0	0	26	0	0	0	2	337	2
('s', '.', 'd')	0	0	0	0	0	0	0	1	0	0	0	2	84	0
('“', 'w', 'a')	0	0	0	0	0	0	0	25	7	0	0	1	0	0
('4', '1', '1')	0	0	0	0	0	0	1	0	0	0	0	0	10	0
('m', 'r', 'ü')	0	0	0	0	0	0	1	0	0	0	0	0	22	0
('1', '6', '4')	0	0	0	0	0	0	1	0	0	0	0	0	25	4
('6', '4', '8')	0	0	0	0	0	0	1	0	0	0	0	0	4	1
('8', ' ', 'ü')	0	0	0	0	0	0	1	0	0	0	0	0	14	0
('r', '-', 'n')	0	0	0	0	0	0	1	0	1	0	0	1	150	1
('9', '4', '3')	0	0	0	0	0	0	2	4	0	0	0	0	5	8
('3', ' ', 'p')	0	0	0	0	0	0	1	0	0	0	0	0	612	17
('9', '3', '4')	0	0	0	0	0	0	1	1	0	0	0	0	7	15
('4', ' ', '(')	0	0	0	0	0	0	1	0	0	0	0	0	44	7
('e', '…', ' ')	0	0	0	0	0	0	4	10	0	0	0	0	0	0
('6', ' ', 's')	0	0	0	0	0	0	2	1	1	0	0	0	92	13
('ë', 'g', 'u')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('1', '2', '7')	0	0	0	0	0	0	1	0	0	0	0	0	28	2
('2', '7', '6')	0	0	0	0	0	0	1	1	0	0	0	0	8	0
('î', 's', ' ')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('>', 'b', 'e')	0	0	0	0	0	0	10	0	0	0	0	0	0	0
('4', '3', '9')	0	0	0	0	0	0	1	0	0	0	0	0	4	1
('z', 'a', '.')	0	0	0	0	0	0	4	1	1	0	0	0	0	0
('e', '.', 's')	0	0	0	0	0	0	0	0	0	0	0	1	12	0
(' ', '>', 'k')	0	0	0	0	0	0	20	0	0	0	0	0	0	0
('n', '.', '-')	0	0	0	0	0	0	2	0	0	0	0	0	4	2
('i', 'j', 'h')	0	0	0	0	0	0	1	12	10	0	0	0	0	43
('h', 'z', 'a')	0	0	0	0	0	0	0	0	0	0	0	1	47	0
('9', '9', '.')	0	0	0	0	0	0	1	0	0	0	0	0	7	2
('7', '1', '.')	0	0	0	0	0	0	1	0	0	0	0	0	1	4
('s', ' ', '8')	0	0	0	0	0	0	2	0	0	0	0	0	254	6
('b', ' ', '2')	0	0	0	0	0	0	0	0	0	0	0	1	184	0
('-', '9', ' ')	0	0	0	0	0	0	2	0	0	0	0	0	3	1
('l', 'd', '"')	0	0	0	0	0	0	1	0	0	0	0	0	8	10
(' ', '5', '5')	0	0	0	0	0	0	1	3	0	0	0	0	294	13
('9', '9', '0')	0	0	0	0	0	0	1	2	0	0	0	0	57	31
('9', '0', 'e')	0	0	0	0	0	0	1	0	0	0	0	0	60	0
('>', 's', 'i')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('…', ' ', 's')	0	0	0	0	0	0	1	12	1	0	0	0	0	0
('ö', 'a', 'n')	0	0	0	0	0	0	1	0	6	0	0	0	0	0
('b', 'î', 't')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('d', 'â', 'g')	0	0	0	0	0	0	9	0	0	0	0	0	0	0
('ä', 'i', '«')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('1', '8', ',')	0	0	0	0	0	0	4	1	0	0	0	0	97	7
('t', ' ', '9')	0	0	0	0	0	0	2	1	0	0	0	0	260	9
('2', '5', '/')	0	0	0	0	0	0	1	0	0	0	0	0	15	1
('5', '/', '1')	0	0	0	0	0	0	1	0	0	0	0	0	12	0
('/', '1', '9')	0	0	0	0	0	0	1	1	0	0	0	0	31	5
('d', ' ', '6')	0	0	0	0	0	0	0	0	0	0	0	1	370	0
('h', 'â', 't')	0	0	0	0	0	0	1	0	0	0	0	0	0	5
('9', '9', '6')	0	0	0	0	0	0	0	2	0	0	0	1	211	26
('x', 'i', 'f')	0	0	0	0	0	0	0	0	0	0	0	2	4	0
('x', 't', '-')	0	0	0	0	0	0	0	1	0	0	0	1	88	0
(' ', '“', 'm')	0	0	0	0	0	0	1	46	28	0	0	0	0	0
('“', 'm', 'i')	0	0	0	0	0	0	1	6	4	0	0	0	0	0
('5', ' ', 'n')	0	0	0	0	0	0	1	1	1	0	0	0	60	10
(' ', '“', 'b')	0	0	0	0	0	0	1	17	9	0	0	0	0	0
('l', 'z', '-')	0	0	0	0	0	0	1	0	0	0	0	0	8	0
('z', '-', 's')	0	0	0	0	0	0	1	0	0	0	0	1	105	0
('e', '”', '.')	0	0	0	0	0	0	1	15	2	0	0	0	0	0
('(', 's', ')')	0	0	0	0	0	0	0	3	0	0	0	3	1	2
('d', '-', 'v')	0	0	0	0	0	0	1	1	0	0	0	0	227	13
('m', 'm', 'ä')	0	0	0	0	0	0	1	0	0	0	0	0	7	0
(' ', '7', '4')	0	0	0	0	0	0	1	0	0	0	0	0	115	2
('»', ' ', 't')	0	0	0	0	0	0	1	0	0	0	0	0	0	7
('1', '5', '/')	0	0	0	0	0	0	1	0	0	0	0	0	17	0
('5', '/', '2')	0	0	0	0	0	0	1	1	0	0	0	0	16	2
('.', '3', '1')	0	0	0	0	0	0	1	0	0	0	0	0	10	2
('3', '1', ',')	0	0	0	0	0	0	1	0	0	0	0	0	59	1
('1', ',', '2')	0	0	0	0	0	0	2	0	0	0	0	0	271	4
(',', '2', '2')	0	0	0	0	0	0	2	0	0	0	0	0	27	0
('2', ' ', 't')	0	0	0	0	0	0	1	0	0	0	0	0	40	19
('/', 's', 'w')	0	0	0	0	0	0	0	0	0	0	0	1	7	0
('9', '2', '8')	0	0	0	0	0	0	1	1	0	0	0	0	6	13
('ß', 'n', 'o')	0	0	0	0	0	0	1	0	0	0	0	0	7	0
('3', '3', '1')	0	0	0	0	0	0	0	0	0	0	0	1	9	0
('z', 'u', 'a')	0	0	0	0	0	0	5	3	0	0	0	0	50	0
('ë', 'l', 's')	0	0	0	0	0	0	2	4	0	0	0	0	0	1
('h', 'm', 'â')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('d', 'î', 'k')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
(' ', 'k', 'h')	0	0	0	0	0	0	1	0	0	0	0	1	40	3
(' ', 'h', 'h')	0	0	0	0	0	0	0	0	0	0	0	3	6	0
('e', 'a', 'h')	0	0	0	0	0	0	1	0	0	0	0	0	37	0
('8', '9', '1')	0	0	0	0	0	0	1	1	0	0	0	0	4	11
('9', '1', ' ')	0	0	0	0	0	0	1	1	0	0	0	0	87	17
('-', 't', 'y')	0	0	0	0	0	0	1	0	0	0	0	0	86	0
('3', ' ', 'r')	0	0	0	0	0	0	2	0	0	0	0	0	22	0
('a', 'o', 'ä')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('8', '9', '3')	0	0	0	0	0	0	1	0	0	0	0	0	4	6
('9', '3', ')')	0	0	0	0	0	0	1	0	0	0	0	0	0	5
('3', ')', '.')	0	0	0	0	0	0	1	1	0	0	0	1	0	8
('8', ',', '1')	0	0	0	0	0	0	1	0	0	0	0	0	39	0
(',', '1', '8')	0	0	0	0	0	0	1	0	0	0	0	0	186	2
('1', '8', '-')	0	0	0	0	0	0	1	0	0	0	0	0	155	7
('-', '2', '9')	0	0	0	0	0	0	1	0	0	0	0	0	4	1
('a', 'o', 'ë')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('e', 'b', '-')	0	0	0	0	0	0	1	0	0	0	0	0	1616	2
('b', '-', 'p')	0	0	0	0	0	0	1	0	0	0	0	0	174	3
('7', '9', '8')	0	0	0	0	0	0	1	1	0	0	0	0	7	3
('9', '8', ',')	0	0	0	0	0	0	1	1	0	0	0	0	9	7
('e', 'b', 'm')	0	0	0	0	0	0	1	0	0	0	0	1	71	1
('0', '5', ')')	0	0	0	0	0	0	1	1	0	0	0	0	0	22
('3', '/', '4')	0	0	0	0	0	0	1	0	0	0	0	0	4	1
('4', '4', ')')	0	0	0	0	0	0	3	2	0	0	0	0	0	4
(')', ' ', 'p')	0	0	0	0	0	0	1	4	0	0	0	0	108	14
('y', 'p', ' ')	0	0	0	0	0	0	1	0	0	0	0	1	223	0
('y', 'p', 'r')	0	0	0	0	0	0	1	0	0	0	0	0	49	6
('i', '’', 's')	0	0	0	0	0	0	1	3	2	0	0	0	0	0
(' ', '9', '8')	0	0	0	0	0	0	1	2	0	0	0	0	411	6
('2', ' ', 'o')	0	0	0	0	0	0	1	3	1	0	0	0	39	14
('d', ' ', ',')	0	0	0	0	0	0	1	4	3	0	0	0	3421	0
(' ', 'h', 'j')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('b', 'n', 'a')	0	0	0	0	0	0	3	0	0	0	0	0	96	0
('u', 'g', 'f')	0	0	0	0	0	0	1	0	0	0	0	0	79	0
('r', '<', '.')	0	0	0	0	0	0	11	0	0	0	0	0	0	0
('e', 'e', 'y')	0	0	0	0	0	0	1	0	0	0	0	0	7	0
('p', 'f', 'g')	0	0	0	0	0	0	0	0	0	0	0	1	14	0
('h', 'u', '.')	0	0	0	0	0	0	1	1	0	0	0	0	3	1
('r', '<', ' ')	0	0	0	0	0	0	13	0	0	0	0	0	0	0
('<', ' ', 'v')	0	0	0	0	0	0	11	0	0	0	0	0	0	0
('î', 's', 'a')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('î', 'f', 'g')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('k', 't', 'f')	0	0	0	0	0	0	3	0	0	0	0	0	1054	0
('(', 'v', 'a')	0	0	0	0	0	0	0	3	0	0	0	1	0	28
('8', '2', '6')	0	0	0	0	0	0	1	1	0	0	0	0	5	2
('j', 'a', '-')	0	0	0	0	0	0	0	0	0	0	0	1	12	0
('g', 'v', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	28	3
('3', ' ', '–')	0	0	0	0	0	0	6	1	0	0	0	1	0	0
('7', ' ', 'o')	0	0	0	0	0	0	1	0	3	0	0	0	15	11
('é', 'k', '.')	0	0	0	0	0	0	24	0	1	0	0	0	0	0
('l', ')', ',')	0	0	0	0	0	0	2	1	0	0	0	0	0	11
('o', 'r', '/')	0	0	0	0	0	0	0	0	0	0	0	1	12	1
('g', ')', '.')	0	0	0	0	0	0	2	0	0	0	0	0	0	7
('i', ' ', '9')	0	0	0	0	0	0	1	0	0	0	0	0	46	0
('1', '5', '-')	0	0	0	0	0	0	1	0	0	0	0	0	118	11
('5', '-', '2')	0	0	0	0	0	0	2	0	0	0	0	0	1	3
('1', '4', '-')	0	0	0	0	0	0	1	0	0	0	0	0	31	1
('e', '<', '.')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('4', '5', '.')	0	0	0	0	0	0	1	0	0	0	0	0	20	7
('u', 'n', 'ü')	0	0	0	0	0	0	2	0	0	0	0	0	54	0
('2', '6', '1')	0	0	0	0	0	0	1	0	0	0	0	0	18	2
('6', '1', ' ')	0	0	0	0	0	0	1	1	0	0	0	0	99	19
('m', ' ', '7')	0	0	0	0	0	0	2	1	0	0	0	1	186	3
('1', '6', '6')	0	0	0	0	0	0	1	0	0	0	0	0	59	4
('1', '6', '3')	0	0	0	0	0	0	1	0	0	0	0	1	20	5
('3', ',', '1')	0	0	0	0	0	0	1	0	0	0	0	0	71	0
(',', '1', ' ')	0	0	0	0	0	0	1	0	1	0	0	1	571	3
('ü', 'f', 'p')	0	0	0	0	0	0	0	0	0	0	0	1	5	0
('n', '.', 'v')	0	0	0	0	0	0	1	0	2	0	0	1	6	14
('.', 'v', 'i')	0	0	0	0	0	0	2	0	0	0	0	0	9	0
('i', 'p', 'd')	0	0	0	0	0	0	0	2	0	0	0	1	16	1
('6', ',', '8')	0	0	0	0	0	0	1	0	0	0	0	0	73	2
(',', '8', '-')	0	0	0	0	0	0	1	0	0	0	0	0	18	0
('p', 'î', 's')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('x', ' ', '1')	0	0	0	0	0	0	1	0	1	0	0	0	89	2
('-', 'e', 'm')	0	0	0	0	0	0	1	0	1	0	0	3	172	3
(' ', 'n', 'k')	0	0	0	0	0	0	1	91	0	0	0	0	3	17
('n', '”', ',')	0	0	0	0	0	0	1	80	4	0	0	0	0	0
('h', 'f', 'e')	0	0	0	0	0	0	0	0	0	0	0	2	41	0
('c', 'h', '<')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('m', 's', 'f')	0	0	0	0	0	0	0	0	0	0	0	1	45	0
(' ', '1', ')')	0	0	0	0	0	0	1	1	0	0	0	0	0	4
(' ', '>', 'v')	0	0	0	0	0	0	9	0	0	0	0	0	0	0
('c', '.', 'd')	0	0	0	0	0	0	2	0	0	0	0	0	5	0
('é', 'k', ',')	0	0	0	0	0	0	89	0	0	0	0	0	0	0
('k', 'm', '²')	0	0	0	0	0	0	1	0	0	0	0	0	0	18
('m', '²', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	4	12
('1', '.', '3')	0	0	0	0	0	0	1	1	0	0	0	0	71	8
(' ', 'e', '2')	0	0	0	0	0	0	2	0	0	0	0	0	32	0
('a', '.', 'g')	0	0	0	0	0	0	1	0	0	0	0	0	4	2
('d', 'h', 'ä')	0	0	0	0	0	0	3	0	0	0	0	0	22	0
('>', 'm', 'a')	0	0	0	0	0	0	6	0	0	0	0	0	1	0
('g', 'k', 'i')	0	0	0	0	0	0	0	3	2	0	0	1	1	0
('<', ' ', '>')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('>', 'h', 'i')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('r', '!', '<')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('z', '-', 'f')	0	0	0	0	0	0	0	0	1	0	0	1	37	0
('i', 'é', ' ')	0	0	0	0	0	0	25	5	0	0	0	0	16	0
('9', '6', '0')	0	0	0	0	0	0	1	3	0	0	0	0	36	37
('f', '-', 'm')	0	0	0	0	0	0	0	0	0	0	0	2	39	1
('k', '-', 'ü')	0	0	0	0	0	0	0	0	0	0	0	1	7	0
('u', 'ğ', 'ğ')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('5', ' ', 'c')	0	0	0	0	0	0	2	0	0	0	0	0	78	5
(' ', 'c', 'm')	0	0	0	0	0	0	1	2	0	0	0	0	154	8
('c', 'm', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	90	6
(' ', '5', '3')	0	0	0	0	0	0	2	0	0	0	0	0	174	1
('4', '2', ',')	0	0	0	0	0	0	1	0	0	0	0	0	43	1
('i', '-', 'v')	0	0	0	0	0	0	0	1	0	0	0	1	123	4
('4', ',', '1')	0	0	0	0	0	0	3	0	1	0	0	0	73	0
(',', '1', '2')	0	0	0	0	0	0	1	0	0	0	0	0	24	0
('(', '1', '0')	0	0	0	0	0	0	0	0	0	0	0	1	1	14
('0', ' ', ':')	0	0	0	0	0	0	0	0	0	0	0	1	35	0
(':', ' ', '3')	0	0	0	0	0	0	0	1	0	0	0	1	7	9
(' ', 'c', '-')	0	0	0	0	0	0	0	0	0	0	0	2	68	1
('c', '-', 's')	0	0	0	0	0	0	0	2	0	0	0	2	316	2
('p', ' ', '.')	0	0	0	0	0	0	2	1	0	0	0	1	270	0
(' ', 'n', 's')	0	0	0	0	0	0	6	3	0	0	0	0	237	18
('y', 'l', 'b')	0	0	0	0	0	0	1	0	0	0	0	0	6	0
('1', '2', '4')	0	0	0	0	0	0	1	0	1	0	0	0	23	3
('2', '4', '5')	0	0	0	0	0	0	1	0	1	0	0	0	19	0
('ü', ' ', 'z')	0	0	0	0	0	0	0	0	0	0	0	1	5	0
('-', 'f', 'ä')	0	0	0	0	0	0	0	0	0	0	0	2	207	0
