PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('PRON', 'INTJ')	3	1	2	0	2	2	2	7	0	2	0	20	0	0
('NOUN', 'SCONJ')	7	9	80	25	6	3	23	367	297	0	0	6	25	966
('AUX', 'NUM')	51	34	10	8	36	4	37	49	18	34	5	23	1210	140
('NUM', 'PRON')	3	26	4	0	5	0	9	21	5	2	1	2	193	7
('ADV', 'INTJ')	9	4	18	1	4	2	7	16	7	0	1	6	0	0
('NUM', 'PROPN')	0	1	4	2	1	0	20	43	1	2	3	1	439	261
('PRON', 'SCONJ')	7	7	39	11	4	2	18	161	113	1	0	13	54	289
('ADJ', 'INTJ')	0	1	1	1	2	0	0	7	5	1	1	1	0	0
('SCONJ', 'AUX')	5	6	16	6	18	1	5	7	2	1	3	1	61	48
('PROPN', 'SCONJ')	1	1	7	3	5	0	5	40	30	0	0	1	3	219
('INTJ', 'ADP')	5	7	4	1	13	1	7	24	8	2	1	3	0	0
('PROPN', 'INTJ')	2	1	0	0	6	0	4	1	1	0	1	10	0	0
('INTJ', 'PART')	1	6	3	0	5	0	0	4	4	0	0	1	0	0
('DET', 'PART')	4	3	5	1	4	0	4	12	4	0	1	1	277	27
('INTJ', 'CCONJ')	7	10	10	2	8	0	11	27	6	1	2	19	0	0
('INTJ', 'SCONJ')	1	1	0	0	5	0	1	5	1	0	0	2	0	0
('PART', 'PROPN')	8	5	7	1	4	0	3	7	2	0	1	2	46	6
('SCONJ', 'PUNCT')	3	6	10	1	7	2	1	24	7	1	4	13	259	89
('DET', 'INTJ')	3	0	0	0	2	0	2	1	0	1	0	2	0	0
('DET', 'SCONJ')	0	0	1	0	1	0	0	2	6	0	1	0	6	20
('INTJ', 'AUX')	0	5	6	0	2	0	3	4	0	0	0	2	0	0
('ADP', 'INTJ')	1	0	1	1	1	0	4	5	0	2	0	4	0	0
('INTJ', 'NUM')	0	0	0	0	1	0	4	5	1	0	0	3	0	0
('AUX', 'INTJ')	0	0	0	0	0	0	2	7	1	0	0	3	0	0
('NUM', 'SCONJ')	0	0	0	0	0	0	7	6	2	0	0	0	1	49
('DET', 'ADJ', 'NOUN')	4050	7260	1268	514	11695	512	3400	3300	2300	1174	721	2228	88235	7806
('ADJ', 'NOUN', 'VERB')	1716	2036	303	117	3081	205	1083	979	607	450	222	689	33951	1712
('NOUN', 'VERB', 'DET')	491	656	90	37	546	58	490	284	207	92	42	220	8328	723
('VERB', 'DET', 'NOUN')	2735	3157	478	197	3461	316	2759	1244	826	287	203	780	18170	1652
('DET', 'NOUN', 'CCONJ')	2152	2107	444	141	2894	144	1681	1002	593	258	169	661	9868	595
('NOUN', 'CCONJ', 'DET')	683	697	220	55	1004	45	530	341	211	109	76	233	6232	441
('CCONJ', 'DET', 'ADJ')	366	724	146	52	1469	38	256	198	131	84	65	156	3433	273
('ADJ', 'NOUN', 'PUNCT')	2027	3609	669	257	4566	238	2066	1900	982	505	351	1126	27511	3365
('NOUN', 'PUNCT', 'ADV')	890	1110	386	97	1092	119	854	466	212	157	76	514	4219	701
('PUNCT', 'ADV', 'DET')	245	390	120	35	540	29	183	131	52	61	27	146	2622	322
('ADV', 'DET', 'PROPN')	12	19	11	3	17	0	8	26	11	1	1	4	637	64
('ADP', 'DET', 'ADJ')	1356	2769	485	197	5204	185	1246	1403	1089	610	321	897	42167	4683
('ADP', 'DET', 'NOUN')	10499	12324	2973	1062	18273	910	9271	7044	4809	2327	1230	4760	120017	11376
('DET', 'NOUN', 'VERB')	7646	7114	1250	518	8738	607	5139	2773	1917	1007	640	2507	50334	3456
('NOUN', 'VERB', 'AUX')	1573	1600	101	122	3017	115	877	561	239	373	218	466	19896	277
('VERB', 'AUX', 'PUNCT')	3786	3823	356	353	6141	248	1915	1267	538	642	414	1031	29655	298
('NOUN', 'VERB', 'ADV')	486	708	140	74	735	49	369	512	223	92	52	366	5934	524
('VERB', 'ADV', 'DET')	424	543	113	41	544	51	293	382	170	51	31	179	3301	418
('ADV', 'DET', 'PRON')	9	9	14	7	18	2	5	13	2	1	2	1	20	6
('DET', 'PRON', 'PUNCT')	49	15	11	3	23	5	20	7	3	0	1	11	22	1
('PRON', 'PUNCT', 'PRON')	851	428	86	50	634	44	333	71	30	62	42	183	453	17
('PUNCT', 'PRON', 'ADV')	525	542	133	79	710	31	240	141	56	73	52	186	3373	206
('PRON', 'ADV', 'VERB')	1284	1253	277	128	1559	108	846	538	249	116	140	421	1192	254
('ADV', 'VERB', 'PRON')	2263	2474	611	178	3037	283	2005	912	556	234	162	720	3562	425
('ADP', 'DET', 'PROPN')	40	67	62	6	87	0	63	282	113	26	9	12	8240	1131
('DET', 'PROPN', 'ADP')	31	26	19	2	35	0	17	75	33	2	3	6	2500	278
('PROPN', 'ADP', 'NOUN')	59	70	27	13	100	10	81	151	46	16	8	35	2484	166
('ADP', 'NOUN', 'PUNCT')	931	1259	303	150	1277	99	975	1752	377	196	106	534	9039	918
('VERB', 'PRON', 'DET')	1049	1074	195	73	1441	106	1006	480	342	95	72	283	3335	332
('PRON', 'DET', 'NOUN')	2739	2517	500	211	3773	251	2242	1054	700	328	196	654	11179	759
('NOUN', 'CCONJ', 'VERB')	1177	1217	109	65	1859	123	912	525	204	71	56	230	1702	152
('CCONJ', 'VERB', 'PUNCT')	1069	835	126	58	1052	131	628	225	70	55	25	256	918	71
('PRON', 'VERB', 'ADV')	994	1368	408	225	1589	166	696	1034	587	146	121	447	1866	449
('VERB', 'ADV', 'ADJ')	222	422	126	48	403	29	169	316	155	55	26	106	1405	152
('ADV', 'ADJ', 'CCONJ')	157	376	131	63	411	15	149	174	93	32	25	68	1074	24
('ADJ', 'CCONJ', 'VERB')	175	377	43	15	306	23	196	117	41	14	20	40	404	31
('CCONJ', 'VERB', 'ADJ')	88	162	21	7	242	8	79	52	30	10	9	36	309	10
('VERB', 'ADJ', 'ADP')	97	253	36	11	202	4	73	153	79	18	14	31	610	65
('ADJ', 'ADP', 'NOUN')	137	252	44	33	335	16	121	398	111	43	22	48	1819	114
('ADP', 'NOUN', 'ADP')	351	421	133	59	697	22	285	1127	274	148	68	123	11844	1230
('NOUN', 'ADP', 'PUNCT')	479	922	215	97	1175	73	412	748	372	124	79	225	8134	399
('ADV', 'VERB', 'DET')	698	765	96	29	674	89	826	203	121	64	60	194	3689	559
('DET', 'NOUN', 'ADV')	1998	2754	567	266	4364	208	1709	1161	800	365	228	1280	16456	1088
('NOUN', 'ADV', 'CCONJ')	282	270	21	11	457	26	219	66	28	19	8	166	1065	15
('ADV', 'CCONJ', 'VERB')	634	453	18	9	884	47	423	70	36	15	11	168	265	10
('CCONJ', 'VERB', 'PRON')	1014	1142	92	44	1765	52	777	318	112	53	41	123	725	79
('VERB', 'PRON', 'PUNCT')	1252	1349	344	142	2314	117	737	652	342	117	90	299	1383	133
('PRON', 'PUNCT', 'SCONJ')	364	245	55	45	297	22	186	45	19	38	22	50	385	21
('PUNCT', 'SCONJ', 'PRON')	3266	2690	634	416	3444	267	1600	622	242	315	224	647	6634	288
('SCONJ', 'PRON', 'ADP')	635	487	167	72	1003	51	286	385	225	64	40	158	1346	237
('PRON', 'ADP', 'DET')	1920	2369	511	193	4219	211	1349	1059	727	368	213	796	9400	1126
('NOUN', 'VERB', 'PUNCT')	6000	5323	1003	427	6552	501	3804	2332	1232	957	535	1693	57247	2145
('VERB', 'PUNCT', 'CCONJ')	1107	1573	488	234	3892	149	679	354	237	128	84	227	2503	265
('PUNCT', 'CCONJ', 'PART')	63	22	5	3	30	0	11	14	9	12	5	18	150	8
('CCONJ', 'PART', 'PRON')	23	1	1	0	2	0	3	1	0	0	0	1	17	0
('PART', 'PRON', 'VERB')	43	8	1	1	8	3	14	3	5	0	0	2	43	2
('PRON', 'VERB', 'PRON')	1497	1818	415	234	2181	163	1207	1043	600	163	160	427	1069	421
('PUNCT', 'PRON', 'VERB')	2542	2761	573	347	3500	293	1625	878	470	211	134	828	2095	256
('VERB', 'PRON', 'ADP')	1360	1719	280	87	2204	138	1144	979	435	172	110	395	4659	471
('PRON', 'ADP', 'PRON')	712	358	81	37	688	25	380	191	131	56	25	67	1246	85
('ADP', 'PRON', 'PUNCT')	640	428	82	41	746	37	464	181	103	77	51	149	448	46
('PRON', 'VERB', 'ADP')	617	628	164	77	790	50	542	593	273	77	46	197	1019	464
('VERB', 'ADP', 'DET')	842	1523	382	143	2007	98	973	1176	701	219	112	464	5596	2635
('DET', 'NOUN', 'DET')	1098	867	157	62	1476	111	880	304	238	105	68	220	44200	650
('NOUN', 'DET', 'NOUN')	1700	1019	211	93	1851	139	1117	538	292	146	93	291	51946	883
('DET', 'NOUN', 'PUNCT')	6150	8140	1739	652	8954	600	6006	3613	1912	1128	688	2750	35425	3546
('NOUN', 'PUNCT', 'NOUN')	852	687	112	38	474	28	750	504	149	153	107	363	6439	593
('PUNCT', 'NOUN', 'AUX')	77	91	21	10	164	6	77	48	12	15	11	44	317	29
('NOUN', 'AUX', 'PRON')	622	959	157	61	1148	80	552	526	294	149	98	525	5441	288
('AUX', 'PRON', 'DET')	369	527	118	51	831	39	400	264	133	60	50	178	2673	107
('VERB', 'PUNCT', 'PRON')	2863	1795	370	203	2316	164	1084	358	120	229	124	479	5932	146
('PUNCT', 'PRON', 'AUX')	2426	3056	698	346	4307	279	1639	997	443	195	208	973	2989	214
